"#","Reference","Qty","Value","Footprint","Manufacturer","Manufacturer Product Number"
"1","R1,R2,R7,R9,R10,R11,R12,R13","8","2.2K 1%","Resistor_SMD:R_0402_1005Metric","Vishay Dale","CRCW04022K20FKED"
"2","C3,C4,C10,C13,C14,C15,C16","7","0.1uF","Capacitor_SMD:C_0402_1005Metric","KEMET","C0402C104K4RACTU"
"3","C1,C2,C6,C7,C8,C9","6","10uF","Capacitor_SMD:C_0805_2012Metric","Murata Electronics","GRM21BR71A106KA73L"
"4","R3,R4,R8","3","1k","Resistor_SMD:R_0402_1005Metric","YAGEO","RC0402JR-071KL"
"5","J1,J2","2","F32Q-1A7H1-11022","library:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","Amphenol ICC (FCI)","F32Q-1A7H1-11022"
"6","Y2","1","ASEK-32.768KHZ-L-R-T","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","Abracon LLC","ASEK-32.768KHZ-L-R-T"
"7","Y1","1","ECS-2520MV-200-BN-TR","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","ECS Inc.","ECS-2520MV-200-BN-TR"
"8","U8","1","TCAN334","Package_SO:JEITA_SOIC-8_3.9x4.9mm_P1.27mm","Texas Instruments","TCAN334GDR"
"9","U7","1","MCP2518FD-xQBB","Package_DFN_QFN:DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm","Microchip Technology","MCP2518FDT-E/QBB"
"10","U5","1","MCP98243","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","Microchip Technology","MCP98243T-BE/MNY"
"11","U3","1","ICM-42688-P","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","TDK InvenSense","ICM-42688-P"
"12","U1","1","AP3441SHE-7B","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm","Diodes Incorporated","AP3441SHE-7B"
"13","R6","1","10K 1%","Resistor_SMD:R_0402_1005Metric","Vishay Dale","CRCW040210K0FKED"
"14","R5","1","100K 1%","Resistor_SMD:R_0402_1005Metric","YAGEO","RC0402FR-07100KL"
"15","P1","1","ERM8-025-01-L-D-RA-K-TR","library:SAMTEC_ERM8-025-XX-X-D-RA-XX","Samtec Inc.","ERM8-025-01-L-D-RA-K-TR"
"16","L1","1","2.2uH","Inductor_SMD:L_Vishay_IHLP-1616","Vishay Dale","IHLP1616BZER1R0M01"
"17","J3","1","SM3ZS067U410ABR1000","library:2230m2","JAE Electronics","SM3ZS067U410ABR1000"
"18","D3","1","LED Blue","LED_SMD:LED_0603_1608Metric","Lite-On Inc.","LTST-S270TBKT"
"19","D2","1","LED Red","LED_SMD:LED_0603_1608Metric","Lite-On Inc.","LTST-S270KRKT"
"20","D1","1","LED Green","LED_SMD:LED_0603_1608Metric","Lite-On Inc.","LTST-S270KGKT"
"21","CM5","1","2x 10164227-1001A1RLF","library:RPi-CM5","Amphenol ICC (FCI)","10164227-1001A1RLF"
"22","C12","1","10nF","Capacitor_SMD:C_0402_1005Metric","KEMET","C0402C103K3REC7411"
"23","C11","1","2.2uF","Capacitor_SMD:C_0402_1005Metric","YAGEO","CC0402KRX5R7BB225"
"24","C5","1","4.7nF","Capacitor_SMD:C_0402_1005Metric","KEMET","C0402C472J5RECTU"
